key,name_concat,name_last,name_first,,,
1,"Ackland, Valentine",Ackland, Valentine,,,
2,"Alington, C.A.",Alington, C.A.,,,
3,"Arundel, Honor",Arundel, Honor,,,
4,"Atthill, Robin",Atthill, Robin,,,
5,"Beeching, Jack",Beeching, Jack,,,
6,"Blackston, Oswell",Blackston, Oswell,,,
7,"Bourne, David",Bourne, David,,,
8,"Bowen, Arnold",Bowen, Arnold,,,
9,"Bull, A.J.",Bull, A.J.,,,
10,"Cawdor, Wilma",Cawdor, Wilma,,,
11,"Cecil, Robert",Cecil, Robert,,,
12,"Church, Richard",Church, Richard,,,
13,"Comfort, Alex",Comfort, Alex,,,
14,"Craven, Mollie Charteris",Craven, Mollie Charteris,,,
15,"Cunard, Nancy",Cunard, Nancy,,,
16,"Davie, Ian",Davie, Ian,,,
17,"Davies, Dudley G.",Davies, Dudley G.,,,
18,"Dunsany, Lord",Dunsany, Lord,,,
19,"Evans, D.",Evans,D.,,,
20,"F.J. Brown, ",F.J. Brown,,,,
21,"Gardiner, Patrick",Gardiner, Patrick,,,
22,"Gawsworth, John",Gawsworth, John,,,
23,"Geering, Ken",Geering, Ken,,,
24,"Gibson, Douglas",Gibson, Douglas,,,
25,"Grant, V.C.",Grant, V.C.,,,
26,"Greacen, Robert",Greacen, Robert,,,
27,"Hamilton, George Rostrevor",Hamilton, George Rostrevor,,,
28,"Hendry, J.F.",Hendry, J.F.,,,
29,"Heppenstall, Rayner",Heppenstall, Rayner,,,
30,"Hutcheson, William",Hutcheson, William,,,
31,"Jackson, Ada",Jackson, Ada,,,
32,"Lewis, Eiluned",Lewis, Eiluned,,,
33,"Lindsay, Jack",Lindsay, Jack,,,
34,"Lochhead, Marion",Lochhead, Marion,,,
35,"Lord, Douglas",Lord, Douglas,,,
36,"Lucas, F.L.",Lucas, F.L.,,,
37,"MacDiarmid, Hugh",MacDiarmid, Hugh,,,
38,"Mackworth, Cecily",Mackworth, Cecily,,,
39,"Manifold, John",Manifold, John,,,
40,"Matthews, Geoffrey",Matthews, Geoffrey,,,
41,"McEwen, J.H.F.",McEwen, J.H.F.,,,
42,"Meyerstein, E.H.W.",Meyerstein, E.H.W.,,,
43,"Milne, Ewart",Milne, Ewart,,,
44,"Moore, Nicholas",Moore, Nicholas,,,
45,"Moult, Thomas",Moult, Thomas,,,
46,"Palmer, Herbert",Palmer, Herbert,,,
47,"Plomer, William",Plomer, William,,,
48,"Potts, Paul",Potts, Paul,,,
49,"Ramsey, T.W.",Ramsay, T.W.,,,
50,"Rathbone, Irene",Rathbone, Irene,,,
51,"Read, Herbert",Read, Herbert,,,
52,"Reilly, Dion",Reilly, Dion,,,
53,"Ross, Alan",Ross, Alan,,,
54,"Rowe, Joyce",Rowe, Joyce,,,
55,"Sackville West, V.",Sackville West, V.,,,
56,"Shaw, Major Duncan",Shaw, Major Duncan,,,
57,"Short, John",Short, John,,,
58,"Spalding, Helen",Spalding, Helen,,,
59,"Squire, J.C.",Squire, J.C.,,,
60,"Stark, M.",Stark, M.,,,
61,"Steen, Shiela",Steen, Shiela,,,
62,"Thompson, Edward",Thompson, Edward,,,
63,"Townsend Warner, Sylvia",Townsend Warner, Sylvia,,,
64,"Treece, Henry",Treece, Henry,,,
65,"Vansittart, Lord",Vansittart, Lord,,,
66,"Whitehouse, Peggy",Whitehouse, Peggy,,,
67,"Wilson, R.N.D.",Wilson, R.N.D.,,,
68,"Winter Were, Mary",Winter Were, Mary,,,
69,"Zodiac', ",Zodiac',,,,
70,"Douglas, Norman",Douglas, Norman,,,
71,"Lodge, M",Lodge, M,,,
72,"Sackville-West, Vita",Sackville-West, Vita,,,
73,"Connolly, Cyril",Connolly, Cyril,,,
74,"Wollman, Maurice",Wollman, Maurice,,,
75,"Leslie, Shane",Leslie, Shane,,,
76,"Pudney, John",Pudney, John,,,
77,"Roberts, Michael",Roberts, Michael,,,
78,"Baring, Maurice",Baring, Maurice,,,
79,"Bodley House Literary Agency, ",Bodley House Literary Agency,,,,
80,"Bottomley, Gordon",Bottomley, Gordon,,,
81,"Bourne, Harold J",Bourne, Harold J,,,
82,"Brown, F.J.",Brown, F.J.,,,
83,"Churchill, Winston",Churchill, Winston,,,
84,"Davies, Dudley G",Davies, Dudley G,,,
85,"Day-Lewis, Cecil",Day-Lewis, Cecil,,,
86,"Douglas, Alfred",Douglas, Alfred,,,
87,"Dunsany, Edward",Dunsany, Edward,,,
88,"Eliot, T.S.",Eliot, T.S.,,,
89,"Evans, Jacqueline",Evans, Jacqueline,,,
90,"Goldring, Douglas",Goldring, Douglas,,,
91,"Graves, Robert",Graves, Robert,,,
92,"Grossbard-Brinitzer, Berthe",Grossbard-Brinitzer, Berthe,,,
93,"Hamilton, Goerge Rostrevor",Hamilton, Goerge Rostrevor,,,
94,"Hendry, JF",Hendry, JF,,,
95,"Hutton, Edward",Hutton, Edward,,,
96,"Kayser, Jacques",Kayser, Jacques,,,
97,"Kisch, Madeline",Kisch, Madeline,,,
98,"Lehmann, John",Lehmann, John,,,
99,"Lucas, FL",Lucas, FL,,,
100,"MacNeice, Louis",MacNeice, Louis,,,
101,"Masefield, John",Masefield, John,,,
102,"Meynell, Francis",Meynell, Francis,,,
103,"Morgan, Charles",Morgan, Charles,,,
104,"Hogg, Neil",Hogg, Neil,,,
105,"Hughes, Langston",Hughes, Langston,,,
107,"Rhys, Keidrich",Rhys, Keidrich,,,
108,"Warren, Rex",Warren, Rex,,,
109,"Earp, Tommy",Earp, Tommy,,,
110,"Heppenstall, Raynor",Heppenstall, Raynor,,,
111,"Read, Sylvia",Read,Sylvia,,,
112,"de la Mare, Walter",de la Mare, Walter,,,
113,"Gascoyne, David",Gascoyne, David,,,
114,"Spender, Stephen",Spender, Stephen,,,
115,"MacNiece, Louis",MacNiece, Louis,,,
116,"Aragon, Louis",Aragon, Louis,,,
117,"Geddies, Liddell",Geddies, Liddell,,,
119,"Wolfe, Herbert",Wolfe, Herbert,,,
120,"Chiese, Wilfred R",Chiese, Wilfred R,,,
121,"Douglas, Normal",Douglas, Normal,,,
122,"Bourne, David's father",Bourne, David's father,,,
123,"Naidu, Sarojini",Naidu,Sarojini,,,
124,"St Vincent Millay, Edna",St Vincent Millay,Edna,,,
125,"Powys, J C",Powys,J C,,,
126,"Lynd, Sylvia",Lynd,Sylvia,,,
149,"Lynd, Robert",Lynd,Robert,,,
127,"Hopkins, Kenneth",Hopkins,Kenneth,,,
128,"Ford, Hugh",Ford,Hugh,,,
129,Bodley House Literary Agency,Bodley House Literary Agency,,,,
130,"Vickers, V.C.",Vickers,V.C.,,,
131,"Kerr-Clark, Mairi",Kerr-Clark,Mairi,,,
132,"Clark-Kerr, Sir Archibald K.",Clark-Kerr,Sir Archibald K.,,,
133,"Cawdor, Lt. Col. Earl",Cawdor,Lt. Col. Earl,,,
134,"Abrahams, Peter",Abrahams,Peter,,,
135,", Hardy",,Hardy,,,
136,"Powys, family",Powys,family,,,
137,"Ford, Thérèse",Ford,Thérèse,,,
138,"Jones, Chris",Jones,Chris,,,
139,", Director of Melbourne National Gallery",,Director of Melbourne National Gallery,,,
140,"Senhouse, Roger",Senhouse,Roger,,,
141,"Acton, Harold",Acton,Harold,,,
142,"Hart-Davis, Rupert",Hart-Davis,Rupert,,,
143,"Budberg, Baroness",Budberg,Baroness,,,
144,"Turrell, ",Turrell,,,,
145,"Cerf, Bennet",Cerf,Bennet,,,
146,"Rota, Bertram",Rota,Bertram,,,
147,"Cunard, Lady Maud",Cunard,Lady Maud,,,
148,"Free, Lady",Free,Lady,,,
150,"Seabrooke, Elliott",Seabrooke,Elliott,,,
151,"Astin, Howard",Astin,Howard,,,
152,"Clarke, G. H.",Clarke,G. H.,,,
153,"Hunt, Violet",Hunt,Violet,,,
154,"Bergson, Henri",Bergson,Henri,,,
155,"Trier, Frank Newton",Trier,Frank Newton,,,
156,"Hadley, W. W.",Hadley,W. W.,,,
157,"Henrey, Graeme",Henrey,Graeme,,,
158,"Voltaire, ",Voltaire,,,,
159,"Plath, Sylvia",Plath,Sylvia,,,
160,"Churchill, Stella",Churchill,Stella,,,
